"Year","Rnd","DT","OvPck","FrRnd","RdPck","Tm","Signed","Bonus","Name","Pos","WAR","G_bat","AB","HR","BA","OPS","G_pitch","W","L","ERA","WHIP","SV","Type","Drafted Out of"
"2005","1","","1","FrRnd","1","Diamondbacks","Y","$6,100,000","Justin Upton (minors)","SS","32.7","1828","6673","324",".262",".814","","","","","","","HS","Great Bridge HS (Chesapeake, VA)"
"2005","1","","2","FrRnd","2","Royals","Y","$4,000,000","Alex Gordon (minors)","3B","34.4","1753","6391","190",".257",".749","2","0","0","19.29","4.29","0","4Yr","University of Nebraska-Lincoln (Lincoln, NE)"
"2005","1","","3","FrRnd","3","Mariners","Y","$3,400,000","Jeff Clement (minors)","C","-1.2","152","385","14",".218",".648","","","","","","","4Yr","University of Southern California (Los Angeles, CA)"
"2005","1","","4","FrRnd","4","Nationals","Y","$2,975,000","Ryan Zimmerman (minors)","3B","40.1","1799","6654","284",".277",".816","","","","","","","4Yr","University of Virginia (Charlottesville, VA)"
"2005","1","","5","FrRnd","5","Brewers","Y","$2,450,000","Ryan Braun (minors)","3B","47.1","1766","6622","352",".296",".891","","","","","","","4Yr","University of Miami (Coral Gables, FL)"
"2005","1","","6","FrRnd","6","Blue Jays","Y","$2,400,000","Ricky Romero (minors)","LHP","9.9","8","21","0",".095",".190","129","51","45","4.16","1.40","0","4Yr","California State University, Fullerton (Fullerton, CA)"
"2005","1","","7","FrRnd","7","Rockies","Y","$2,300,000","Troy Tulowitzki (minors)","SS","44.5","1291","4804","225",".290",".856","","","","","","","4Yr","California State University, Long Beach (Long Beach, CA)"
"2005","1","","8","FrRnd","8","Devil Rays","Y","$1,500,000","Wade Townsend (minors)","RHP","","","","","","","","","","","","","4Yr","Rice University (Houston, TX)"
"2005","1","","9","FrRnd","9","Mets","Y","$3,550,000","Mike Pelfrey (minors)","RHP","5.8","148","268","0",".105",".275","275","68","103","4.68","1.51","1","4Yr","Wichita State University (Wichita, KS)"
"2005","1","","10","FrRnd","10","Tigers","Y","$2,650,000","Cameron Maybin (minors)","OF","13.5","1162","3824","72",".254",".697","","","","","","","HS","T. C. Roberson HS (Asheville, NC)"
"2005","1","","11","FrRnd","11","Pirates","Y","$1,900,000","Andrew McCutchen (minors)","OF","46.0","1761","6520","270",".280",".849","","","","","","","HS","Fort Meade HS (Fort Meade, FL)"
